Presenter Name,Institution
K. Willey,"University of Technology, Sydney Sydney, Australia"
K. Youmans,"Colorado School of Mines Golden, Colorado, USA"
K.Bangert,"The University of Sheffield, Sheffield, United Kingdom ---"
K.D. Delaney,"Technological University Dublin Dublin, Ireland"
K.I. Doulougeri,"Eindhoven University of Technology Eindhoven, the Netherlands ORCID ---"
K.M. Mittendorff,"Saxion University of Applied Sciences Enschede, The Netherlands"
KU Leuven,"Faculty of Engineering Technology, Diepenbeek campus, Belgium ---"
KU Leuven,"Faculty of Engineering Technology, Diepenbeek campus, Belgium ---X"
Kate Roach,University College London United Kingdom
Katriina Schrey-Niemenmaa,Metropolia University of Applied Sciences Finland
Kaur Jaakma,"Aalto University, School of Engineering, Department of Mechanical Engineering Espoo, Finland"
"Knowles, G.","WMG, University of Warwick"
"Knowles, G.","WMG, University of Warwick Coventry"
"Knowles, N.","WMG, University of Warwick Coventry, UK."
Kostas Nizamis,"University of Twente Enschede, the Netherlands ORCID ---"
Kristina Edström,"KTH Royal Institute of Technology Stockholm, Sweden"
Kristina Lampe,"Hochschule Ruhr West, University of Applied Sciences Mülheim, Germany"
Kuhn,T. S. ().The Structure of Scientific Revolutions. Chicago: University of Chicago Press.
"Kähkönen, Elina","Aalto University, School of Engineering Espoo, Finland"
L Logan,"University of Strathclyde Glasgow, UK"
L R ten Klooster,"Department of Applied Mathematics, University of Twente Enschede, The Netherlands"
L S Lanting,"Department of Applied Mathematics, University of Twente Enschede, The Netherlands"
L. Benson,"Clemson University Clemson, South Carolina USA ORCID: ---"
L. Berthoud,"University of Bristol Bristol, UK"
L. Bevers,"FSE, Maastricht University Maastricht, the Netherlands"
L. Champeau,"EPF Engineering School Montpellier, France"
L. Claes,"Measurement Engineering Group, Paderborn University Paderborn, Germany"
L. Cook,"Massachusetts Institute of Technology Cambridge, MA, USA"
L. Fainsilber,"Chalmers University of Technology and University of Gothenburg Gothenburg, Sweden"
L. Martini,"Virginia Polytechnic Institute and State University Virginia, USA"
